,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 NBC Projects,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/25,,,,,,,,,,,,,,,,,,,,,,,,,,
JB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Linked Margin Assignment,,,,,,,,,,,,,,,,,,,,,,,,
,,Install Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,Electrical Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,ANC Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,Engineering and Permits,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,
"History Wall LCD Display -  (Qty. 1) 98"" UHD (98UH5J-H)",Height,Width,Total Sq. Ft,QTY,,,,,,,,,,,,,,,,,,,,,,
,4.09,7.19,29.41,1,,,,,,,,,,,,,,,,,,,,,,
Structural Materials Section, Subcontractor 1 , Subcontractor 2 , Subcontractor 3 ,0%, Additional Contingency ,, Total Cost ,Install Margin, Selling Price , Margin ,,,,,,,,,,,,,,,,
FABRICATE PRIMARY STEEL, $-   , $-   , $-   ,0%, $-   ,, $-   ,30.0%, $-   , $-   ,,,,,,,,,,,,,,,,
SUPPLY AND INSTALL PRIMARY PLYWOOD, $-   , $-   , $-   ,0%, $-   ,, $-   ,30.0%, $-   , $-   ,,,,,,,,,,,,,,,,
FABRICATE SECONDARY STEEL SUBSTRUCTURE," $1,694.99 ", $-   , $-   ,0%, $-   ,," $1,694.99 ",30.0%," $2,421.41 ", $726.42 ,,,,,,,,,,,,,,,,
