,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, $15 ,,15%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBC Bistro Displays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BID SPEC,Active Display Size (Feet),,Pixel Count,,,Square Feet,Quantity,,LED NIT,LED Service,,,,,,,LED,Total,,,,,,,
OPTION,Issue,VENDOR,PRODUCT,PITCH,H,W,H,,W,Per Screen,of Screens,Total SQ FT,Requirement,Requirement,Cost Sq. Ft,Display Cost,Spare Parts,Processor,Shipping,Total Cost,Margin,Price,ANC Margin,Bond Cost,Total with Bond,Selling Sq. Ft,Shipping Sale Price,,
Bistro Hallway LED Display - 2.22' h x 15.76' w - 1.8mm,Hallway,Planar,DLPro,1.875,2.22,15.76,360,x,2560,34.99,1, 34.99 , 800.00 , Front ," $1,173.09 "," $41,043.00 ", $-   , $-   , $524.81 ," $41,567.81 ",30%," $59,382.58 "," $17,815 ", $890.74 ," $60,273.32 "," $1,697.27 ", $617.42 ,,   
Large Bistro LED Display - 9.98' h x 33.60' w - 1.8mm,Bistro,Planar,DLPro,1.875,9.98,33.60,1620,x,5440,335.33,1, 335.33 , 800.00 , Front , $631.08 ," $211,620.00 ", $-   , $-   ," $5,029.92 "," $216,649.92 ",30%," $309,499.89 "," $92,850 "," $4,642.50 "," $314,142.38 ", $922.98 ," $5,917.55 ",,   
Bistro Elevator LED Display - 6.66' h x 11.83' w - 1.8mm,Lounge,Planar,DLPro,1.875,5.55,9.98,900,x,1600,55.39,1, 55.39 , 800.00 , Front , $535.20 ," $29,644.19 ", $-   ," $16,400.00 ", $830.84 ," $46,875.03 ",30%," $66,964.33 "," $20,089 "," $1,004.46 "," $67,968.79 "," $1,208.98 ", $977.45 ,,   
"9th Floor Lounge - 163"" AIO - 1.8mm",Lounge,LG,163 AIO,1.875,6.66,11.83,1080,x,1920,78.75,1, 78.75 , 800.00 , Front , $374.92 ," $29,526.32 ", $-   , $-   ," $1,181.32 "," $30,707.64 ",30%," $43,868.05 "," $13,160 ", $658.02 ," $44,526.07 ", $557.02 ," $1,389.79 ",,   
,,,,,,,,,,,,,,,,,,,," $335,800.39 ",," $479,714.85 "," $143,914 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ribbon LCD Displays - (Qty. 4) 55"" - .44mm Even Bezel Video Wall(55VSM5J-H)",Hallway,LG,55VSM5J-H,FHD,2.23,3.98,1080,x,1920,8.86,4, 35.46 , 800.00 , Front , $224.50 ," $7,960.00 ", $-   , $-   , $-   ," $7,960.00 ",30%," $11,371.43 "," $3,411 ", $170.57 ," $11,542.00 ", $320.71 , $-   ,3733,   
9C LED Display - 9.98' h x 33.60' w - 1.8mm,Bistro,LG,LSCC018-GZ,1.875,9.98,33.60,1620,x,5440,335.33,1, 335.33 , 800.00 , Front , $604.56 ," $202,725.00 "," $12,240.00 "," $15,672.00 ", $-   ," $230,637.00 ",30%," $329,481.43 "," $98,844 "," $4,942.22 "," $334,423.65 ", $982.56 , $-   ,,   
9C LED Display - 9.98' h x 33.60' w - 2.5mm,Bistro,LG,LSCC025,2.5,9.97,31.50,1215,x,3840,314.02,1, 314.02 , 800.00 , Front , $334.76 ," $105,120.00 "," $6,885.00 "," $15,672.00 ", $-   ," $127,677.00 ",30%," $182,395.71 "," $54,719 "," $2,735.94 "," $185,131.65 ", $580.85 , $-   ,,   
"History Wall LCD Display -  (Qty. 1) 98"" UHD (98UH5J-H)",Elevator,LG,98UH5J-H,HD,4.09,7.19,2160,x,3840,29.41,1, 29.41 , 800.00 , Front , $535.20 ," $5,400.00 ", $-   , $-   , $-   ," $5,400.00 ",30%," $7,714.29 "," $2,314 ", $115.71 ," $7,830.00 ", $262.33 , $-   ,,   
"9th Floor Lounge - 163"" AIO - 1.8mm",Lounge,LG,163 AIO,1.875,6.66,11.83,1080,x,1920,78.75,1, 78.75 , 800.00 , Front , $374.92 ," $29,526.32 ", $-   , $-   , $-   ," $29,526.32 ",30%," $42,180.46 "," $12,654 ", $632.71 ," $42,813.16 ", $535.59 , $-   ,,   
,,,,,,,,,,,,,,,," $118,480.00 ",,,," $170,563.32 ",," $243,661.89 "," $60,444 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,," $9,478.40 ",,,8% Spend Back," $13,645.07 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,," $74,089.49 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,," $(102,960.00)",," $(147,085.71)",,,,,,,
