,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 NBC Projects,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/25,,,,,,,,,,,,,,,,,,,,,,,,,,
JB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Linked Margin Assignment,,,,,,,,,,,,,,,,,,,,,,,,
,,Install Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,Electrical Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,ANC Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,Engineering and Permits,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,
"9th Floor Lounge - 163"" AIO - 1.8mm",Height,Width,Total Sq. Ft,QTY,,,,,,,,,,,,,,,,,,,,,,
,6.66,11.83,78.75,1,,,,,,,,,,,,,,,,,,,,,,
Structural Materials Section, Subcontractor 1 , Subcontractor 2 , Subcontractor 3 ,0%, Additional Contingency ,, Total Cost ,Install Margin, Selling Price , Margin ,,,,,,,,,,,,,,,,
FABRICATE PRIMARY STEEL, $-   , $-   , $-   ,0%, $-   ,, $-   ,30.0%, $-   , $-   ,,,,,,,,,,,,,,,,
SUPPLY AND INSTALL PRIMARY PLYWOOD, $-   , $-   , $-   ,0%, $-   ,, $-   ,30.0%, $-   , $-   ,,,,,,,,,,,,,,,,
FABRICATE SECONDARY STEEL SUBSTRUCTURE," $7,200.00 ", $-   , $-   ,0%, $-   ,," $7,200.00 ",30.0%," $10,285.71 "," $3,085.71 ",,,,,,,,,,,,,,,,
