Project:,ROM Proposal,,,
Date:,8/29/22,,,
,,,,
,Administrative,YES,NO,
,,,,
,Physical Installation,ANC,Purchaser,
,ANC assumes all base building structure is to be provided by others or is exsting and is of sufficient capacity to support the proposed display systems.,Include Statement,,
,ANC has included removal and disposal of any existing signage and display systems that would be replaced by those systems that are part of this ROM proposal.,,X,
,"ANC assumes reasonable access will be provided to the installation team and any unknown site conditions such as lane closures, site protection, permitting, etc is not currently in this ROM Proposal.",Include Statement,,
,Electrical & Data Installation,ANC,Purchaser,
,"ANC assumes primary power feed will be provided by others or is exisitng, within 5' of the display location with sufficient amps for ANC proposed display(s); typically 208v 3-phase.",Include Statement,,
,"ANC assumes all secondary power distribution, which may include breaker panels, disconnects, pathway, etc may be included in this ROM Estimate",Include Statement,,
,"ANC assumes all data pathway is provided by others or is exsting, but ANC will provide data cabling and labor to pull cable form control location to the display(s).",Include Statement,,
,Control System,ANC,Purchaser,
,ANC has provided display processors only.  Content creation studio and content delivery system is not included at this time.,Include Statement,,
,Training,ANC,Column1,
,ANC will provide appropriate on-site operation and Maintenance Training,Included Statement,,
,Provide sign off list for all training to be distributed to all parties upon completion.,X,,
,Perform one (1) day of maintenance training.,X,,
,Perform two (2) days of control system operation.,,,
,Perform final systems testing and commissioning.,X,,
,Project Close- Out,ANC,Column1,
,Site walk thru to conduct final inspection of punch list items with ANC,,,
,Completion of punch list items,X,,
,General Conditions,YES,No,
,"ANC has provided a parts only warranty, excluding on-site labor, on all products consistent with the factory supplier and/or 3rd party vendor.  Warranty Terms and Conditions to be defined.",Included Statement,,
,ANC has included installation pricing with Union labor rates and/or prevailing wage negotiation.,,X,
,ANC has not included bonding of any kind.,Included Statement,,
,"ANC has not included any tax in the proposal.  Any and all sales and use taxes, including, but not limited to, any import or associated duties, fees, tariffs as well other excises and other charges, including without limitation VAT/Sales Tax, (“collectively referred to as Government Charges”) now or henceforth levied on any date in connection with the sale of the LED System shall be the full responsibility of the Purchaser. Purchaser shall reimburse ANC for any and all Government Charges ANC may advance on Purchaser’s behalf. Purchaser acknowledges that neither ANC nor Purchaser may have advance knowledge of such Government Charges. ANC has excluded any and all taxes from the pricing in the enclosed proposal.",Included Statement,,
,"Shipping (Ocean Freight Shipping) included in quote at current shipping pricing. Shipping pricing is subject to change due to continued global impacts of the Covid pandemic. Any increase in costs will be responsibility of Purchaser.    
Current Ocean Freight timelines are approximately 6 weeks.  Current Air Freight timelines are approximately 2 weeks.",Included Statement,,
,"The Purchaser acknowledges that amidst the duration of the  Covid-19 pandemic (“Pandemic”) and thereafter for some undefined period of time, there may be consequences of the Pandemic or adverse market conditions (whether or not sudden or unpredictable)  that could render either party’s performance. ANC shall not be responsible for any additional compensation hereunder or lost revenues or profits, damages, costs, or overhead incurred by the Purchaser relating to or arising out of (I) breakdowns in commercial negotiations with equipment or parts’ suppliers; (ii) delays in shipping or manufacturing or the availability of LED or LCD equipment or parts during the Term (iii) delays in third-party contractor obligations not under ANC’s control whose work precedes ANC’s obligations hereunder; (iv) Pandemic related closures of facilities or factories or contractors, whether domestic or international, or (v) employee unavailability, staffing shortages, shutdowns, postponements, or cancellations relating to or arising out of the Pandemic, whether due to illness, travel restrictions or Events of Force Majeure.",Included Statement,,
