,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 NBC Projects,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/25,,,,,,,,,,,,,,,,,,,,,,,,,,
JB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Linked Margin Assignment,,,,,,,,,,,,,,,,,,,,,,,,
,,Install Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,Electrical Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,ANC Margin,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,Engineering and Permits,30.00%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,
"Ribbon LCD Displays - (Qty. 4) 55"" - .44mm Even Bezel Video Wall(55VSM5J-H)",Height,Width,Total Sq. Ft,QTY,,,,,,,,,,,,,,,,,,,,,,
,2.23,3.98,35.46,4,,,,,,,,,,,,,,,,,,,,,,
Structural Materials Section, Subcontractor 1 , Subcontractor 2 , Subcontractor 3 ,0%, Additional Contingency ,, Total Cost ,Install Margin, Selling Price , Margin ,,,,,,,,,,,,,,,,
FABRICATE PRIMARY STEEL, $-   , $-   , $-   ,0%, $-   ,, $-   ,30.0%, $-   , $-   ,,,,,,,,,,,,,,,,
SUPPLY AND INSTALL PRIMARY PLYWOOD, $-   , $-   , $-   ,0%, $-   ,, $-   ,30.0%, $-   , $-   ,,,,,,,,,,,,,,,,
FABRICATE SECONDARY STEEL SUBSTRUCTURE," $3,910.32 ", $-   , $-   ,0%, $-   ,," $3,910.32 ",30.0%," $5,586.17 "," $1,675.85 ",,,,,,,,,,,,,,,,
